iter	Passed	Remaining
0	46	46261
1	46	23316
2	47	15656
3	47	11819
4	47	9514
5	48	7977
6	48	6879
7	48	6055
8	49	5415
9	49	4904
10	49	4485
11	50	4135
12	50	3836
13	50	3583
14	51	3363
15	51	3169
16	51	2999
17	52	2846
18	52	2711
19	52	2589
20	53	2476
21	53	2375
22	53	2284
23	54	2201
24	54	2124
25	54	2053
26	55	1987
27	55	1925
28	55	1868
29	56	1815
30	56	1764
31	56	1717
32	57	1673
33	57	1631
34	57	1592
35	58	1555
36	58	1520
37	58	1487
38	59	1455
39	59	1425
40	59	1396
41	60	1368
42	60	1344
43	60	1321
44	61	1297
45	61	1275
46	61	1253
47	62	1233
48	62	1214
49	62	1195
50	63	1178
51	63	1159
52	63	1142
53	64	1126
54	64	1110
55	64	1094
56	65	1079
57	65	1065
58	65	1051
59	66	1037
60	66	1025
61	67	1014
62	67	1002
63	67	991
64	68	980
65	68	969
66	68	958
67	69	947
68	69	937
69	69	928
70	70	918
71	70	909
72	70	900
73	71	890
74	71	882
75	71	873
76	72	864
77	72	856
78	72	848
79	73	840
80	73	832
81	73	824
82	73	815
83	74	808
84	74	801
85	74	794
86	75	788
87	75	781
88	75	775
89	76	769
90	76	763
91	76	757
92	77	751
93	77	745
94	77	740
95	78	734
96	78	728
97	78	723
98	78	718
99	79	713
100	79	708
101	79	703
102	80	698
103	80	694
104	80	689
105	81	684
106	81	680
107	81	676
108	82	671
109	82	667
110	82	662
111	83	658
112	83	654
113	83	650
114	84	646
115	84	642
116	84	638
117	84	634
118	85	631
119	85	627
120	85	624
121	86	620
122	86	616
123	86	613
124	87	610
125	87	607
126	87	603
127	88	599
128	88	597
129	88	593
130	89	591
131	89	588
132	89	585
133	90	582
134	90	579
135	90	576
136	91	573
137	91	570
138	91	567
139	92	565
140	92	562
141	92	559
142	92	556
143	93	553
144	93	551
145	93	548
146	94	546
147	94	543
148	94	541
149	95	538
150	95	536
151	95	534
152	96	531
153	96	529
154	96	526
155	96	524
156	97	522
157	97	520
158	97	517
159	98	515
160	98	512
161	98	510
162	99	508
163	99	506
164	99	504
165	100	502
166	100	500
167	100	498
168	101	497
169	101	495
170	101	493
171	102	491
172	102	489
173	102	487
174	103	485
175	103	483
176	103	482
177	104	480
178	104	478
179	104	476
180	104	474
181	105	473
182	105	471
183	106	470
184	106	468
185	106	466
186	106	464
187	107	463
188	107	461
189	107	460
190	108	458
191	108	456
192	108	455
193	109	453
194	109	451
195	109	450
196	110	448
197	110	447
198	110	445
199	111	444
200	111	443
201	111	441
202	112	440
203	112	438
204	112	437
205	113	435
206	113	434
207	113	432
208	114	431
209	114	430
210	114	428
211	114	427
212	115	425
213	115	424
214	115	423
215	116	421
216	116	420
217	116	419
218	117	417
219	117	416
220	117	415
221	118	414
222	118	412
223	118	411
224	119	410
225	119	409
226	119	408
227	120	407
228	120	405
229	120	404
230	121	403
231	121	402
232	121	400
233	122	399
234	122	398
235	122	397
236	123	396
237	123	394
238	123	393
239	123	392
240	124	391
241	124	390
242	125	389
243	125	388
244	125	387
245	126	386
246	126	385
247	126	384
248	127	383
249	127	382
250	127	381
251	128	380
252	128	379
253	128	378
254	129	377
255	129	376
256	129	375
257	130	374
258	130	373
259	130	372
260	131	371
261	131	370
262	131	369
263	132	368
264	132	367
265	132	366
266	133	365
267	133	364
268	133	363
269	133	362
270	134	361
271	134	360
272	134	359
273	135	358
274	135	357
275	135	356
276	136	355
277	136	354
278	136	353
279	137	352
280	137	351
281	137	350
282	138	350
283	138	349
284	138	348
285	139	347
286	139	346
287	139	345
288	140	344
289	140	343
290	140	342
291	141	342
292	141	341
293	141	340
294	142	339
295	142	338
296	142	337
297	143	336
298	143	336
299	143	335
300	144	334
301	144	333
302	144	333
303	145	332
304	145	331
305	145	330
306	146	329
307	146	328
308	146	328
309	147	327
310	147	326
311	147	325
312	147	324
313	148	323
314	148	323
315	148	322
316	149	321
317	149	320
318	149	319
319	150	319
320	150	318
321	150	317
322	151	316
323	151	315
324	151	315
325	152	314
326	152	313
327	152	312
328	153	312
329	153	311
330	153	310
331	153	309
332	154	308
333	154	308
334	154	307
335	155	306
336	155	306
337	155	305
338	156	304
339	156	303
340	156	303
341	157	302
342	157	301
343	157	301
344	158	300
345	158	299
346	158	298
347	159	298
348	159	297
349	159	296
350	160	295
351	160	295
352	160	294
353	160	293
354	161	293
355	161	292
356	161	291
357	162	290
358	162	290
359	162	289
360	163	289
361	163	288
362	163	287
363	164	286
364	164	286
365	164	285
366	165	284
367	165	284
368	165	283
369	166	282
370	166	282
371	166	281
372	167	280
373	167	280
374	167	279
375	167	278
376	168	278
377	168	277
378	169	276
379	169	276
380	169	275
381	170	275
382	170	274
383	170	273
384	170	273
385	171	272
386	171	271
387	171	271
388	172	270
389	172	269
390	172	269
391	173	268
392	173	267
393	173	267
394	174	266
395	174	266
396	174	265
397	175	264
398	175	264
399	175	263
400	176	263
401	176	262
402	176	261
403	177	261
404	177	260
405	177	259
406	178	259
407	178	258
408	178	258
409	178	257
410	179	256
411	179	256
412	179	255
413	180	255
414	180	254
415	180	253
416	181	253
417	181	252
418	181	252
419	182	251
420	182	250
421	182	250
422	183	249
423	183	249
424	183	248
425	184	247
426	184	247
427	184	246
428	184	246
429	185	245
430	185	244
431	185	244
432	186	243
433	186	243
434	186	242
435	187	241
436	187	241
437	187	240
438	188	240
439	188	239
440	188	239
441	188	238
442	189	238
443	189	237
444	189	236
445	190	236
446	190	235
447	190	235
448	191	234
449	191	234
450	191	233
451	192	233
452	192	232
453	192	231
454	193	231
455	193	230
456	193	230
457	194	229
458	194	229
459	194	228
460	195	228
461	195	227
462	195	227
463	196	226
464	196	226
465	196	225
466	197	225
467	197	224
468	197	224
469	198	223
470	198	222
471	198	222
472	199	221
473	199	221
474	199	220
475	200	220
476	200	219
477	200	219
478	200	218
479	201	218
480	201	217
481	201	217
482	202	216
483	202	215
484	202	215
485	203	214
486	203	214
487	203	213
488	204	213
489	204	212
490	204	212
491	205	211
492	205	211
493	205	210
494	206	210
495	206	209
